case,role,source_path,source_locator,preview_asset,sha256
SCEF,featured,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,slide 6,v15-vantage/case-assets/scef-06.jpg,2ea477471a335332480bb68abcb38c7561b5ad59ec3a7683ebe83d648a7a4c11
SCEF,featured,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,slide 32,v15-vantage/case-assets/scef-32.jpg,5d7669ff1b4732251c5ab80a8114d75867e4bfcb5120d5d9f6c1958c7eca2a49
SCEF,featured,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,slide 33,v15-vantage/case-assets/scef-33.jpg,140f9a2a9e000d3dffca3dc2dad3658c899ed78f0bdc61c0cc8fcb779ea77072
SCEF,featured,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,slide 37,v15-vantage/case-assets/scef-37.jpg,db485a7ba41f9a4bee9b00a621bd0c9bd73605e513e565f4cdc286fb89c85172
SCEF,featured,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,slide 41,v15-vantage/case-assets/scef-41.jpg,c6f8b287be5fac21535655b1c5439f6acf85ba5302ef54f3699c4c9d1428e2ac
One Acre Fund,featured,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,page 5,v15-vantage/case-assets/oaf-05.jpg,f7a87cba788b83b2dbd27e6a69677f653ed1ec385dcbbc89a29405a522a2703e
One Acre Fund,featured,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,page 7,v15-vantage/case-assets/oaf-07.jpg,5a597a964bb390e8d2547c737bec0a5fc924dee46a8e34a94bd8c947b1ef9389
One Acre Fund,featured,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,page 21,v15-vantage/case-assets/oaf-21.jpg,8fe2265b0a048ddeac4a3ade8fbe77048a500eac17c0da22a9c8053fd06dcd6a
One Acre Fund,featured,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,page 24,v15-vantage/case-assets/oaf-24.jpg,510f5d9ff73a81ad07f9802b2e03664187b6d49f0c29025f2c5fa17c8dfa5cf3
One Acre Fund,featured,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,page 31,v15-vantage/case-assets/oaf-31.jpg,585bd0a7b4cd1b3c4ca743044bd865adb1933cb00e96b798124bc46c125df315
GoodHout,featured,C:\Users\User\Desktop\180 deliverables\Deliverable 3_Feedback.pptx,slide 9,v15-vantage/case-assets/goodhout-09.jpg,b28270286363a2a290e403c92afb0d665c04f0a8bb68f091023f8c90090c4dd1
GoodHout,featured,C:\Users\User\Desktop\180 deliverables\Deliverable 3_Feedback.pptx,slide 20,v15-vantage/case-assets/goodhout-20.jpg,5a8e281381fb42cab4f01536d365d684227b8f044e7b941d0e1a01d343d2f53f
GoodHout,featured,C:\Users\User\Desktop\180 deliverables\Deliverable 3_Feedback.pptx,slide 29,v15-vantage/case-assets/goodhout-29.jpg,58bae6d345b5e2e78335347d587955611546b8c5c2a9521622057f1e106894a9
GoodHout,featured,C:\Users\User\Desktop\180 deliverables\Deliverable 3_Feedback.pptx,slide 35,v15-vantage/case-assets/goodhout-35.jpg,7649dd36be35062285b69e98a890a5f45b9e122cc1a426d170bbb91aabc83c5c
Stahili,reserve,C:\Users\User\Desktop\180 deliverables\Stahili Deliverable 3.pptx,slide 7,v15-vantage/case-assets/stahili-07.png,2d42018c212f89e647ed15076b9b0749076268e3f4ad49b03fadae0cb67954b9
Stahili,reserve,C:\Users\User\Desktop\180 deliverables\Stahili Deliverable 3.pptx,slide 18,v15-vantage/case-assets/stahili-18.png,8c3bbc5c5598c5c99397ec27bd66d6a632d2c93f32322b3f6e4448b6bbca6ec4
Circular IQ,reserve,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,slide 30,v15-vantage/case-assets/circular-iq-30.jpg,bff88a91ea81e05c8ef93140ee6fd20bb8111773bd212535a934ca8d7da53556
Circular IQ,reserve,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,slide 32,v15-vantage/case-assets/circular-iq-32.jpg,b366759cd7830fa961a4d3347f8d61afdd6195167ee104e0ddfea82e983e9fb7
