document_id,source_path,filename,source_sha256,locator_type,locator_number,render_path,category,likely_client,service_area,sensitivity_risk,public_use_status
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,180DC x Circular IQ - Deliverable 1 Deck.pptx,f77a87b395714f86fa55b9fe3bb691a0d44f8ca8f35371a29a6d0d1087d02755,slide,11,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-014\slide-011.jpg,consulting deliverable,Circular IQ,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,180DC x Circular IQ - Deliverable 1 Deck.pptx,f77a87b395714f86fa55b9fe3bb691a0d44f8ca8f35371a29a6d0d1087d02755,slide,16,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-014\slide-016.jpg,consulting deliverable,Circular IQ,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,180DC x Circular IQ - Deliverable 1 Deck.pptx,f77a87b395714f86fa55b9fe3bb691a0d44f8ca8f35371a29a6d0d1087d02755,slide,28,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-014\slide-028.jpg,consulting deliverable,Circular IQ,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,180DC x Circular IQ - Deliverable 1 Deck.pptx,f77a87b395714f86fa55b9fe3bb691a0d44f8ca8f35371a29a6d0d1087d02755,slide,30,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-014\slide-030.jpg,consulting deliverable,Circular IQ,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,180DC x Circular IQ - Deliverable 1 Deck.pptx,f77a87b395714f86fa55b9fe3bb691a0d44f8ca8f35371a29a6d0d1087d02755,slide,32,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-014\slide-032.jpg,consulting deliverable,Circular IQ,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-041,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180 DC_Final Report_vF.pdf,202407_Stir It Up X 180 DC_Final Report_vF.pdf,61c302dce833f080c6ee489c5a444e27463d8367722f096bf22045137112815d,page,4,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-041\page-004.jpg,unclear/review,Stir It Up,market research / growth; brand / marketing; business plan / financial,low/unknown,DO NOT PUBLISH - private review required
DOC-041,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180 DC_Final Report_vF.pdf,202407_Stir It Up X 180 DC_Final Report_vF.pdf,61c302dce833f080c6ee489c5a444e27463d8367722f096bf22045137112815d,page,8,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-041\page-008.jpg,unclear/review,Stir It Up,market research / growth; brand / marketing; business plan / financial,low/unknown,DO NOT PUBLISH - private review required
DOC-041,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180 DC_Final Report_vF.pdf,202407_Stir It Up X 180 DC_Final Report_vF.pdf,61c302dce833f080c6ee489c5a444e27463d8367722f096bf22045137112815d,page,15,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-041\page-015.jpg,unclear/review,Stir It Up,market research / growth; brand / marketing; business plan / financial,low/unknown,DO NOT PUBLISH - private review required
DOC-041,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180 DC_Final Report_vF.pdf,202407_Stir It Up X 180 DC_Final Report_vF.pdf,61c302dce833f080c6ee489c5a444e27463d8367722f096bf22045137112815d,page,19,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-041\page-019.jpg,unclear/review,Stir It Up,market research / growth; brand / marketing; business plan / financial,low/unknown,DO NOT PUBLISH - private review required
DOC-200,C:\Users\User\Desktop\180 deliverables\Viva Independent - Deliverable 1.pptx,Viva Independent - Deliverable 1.pptx,7b2fda5a00ffab2463ab772f6fe1c7d23d7f23be5c0f9d89287a1cc88bf63150,slide,7,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-200\slide-007.jpg,consulting deliverable,Viva Independent,sustainability / circular economy; strategy,medium,DO NOT PUBLISH - private review required
DOC-200,C:\Users\User\Desktop\180 deliverables\Viva Independent - Deliverable 1.pptx,Viva Independent - Deliverable 1.pptx,7b2fda5a00ffab2463ab772f6fe1c7d23d7f23be5c0f9d89287a1cc88bf63150,slide,12,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-200\slide-012.jpg,consulting deliverable,Viva Independent,sustainability / circular economy; strategy,medium,DO NOT PUBLISH - private review required
DOC-200,C:\Users\User\Desktop\180 deliverables\Viva Independent - Deliverable 1.pptx,Viva Independent - Deliverable 1.pptx,7b2fda5a00ffab2463ab772f6fe1c7d23d7f23be5c0f9d89287a1cc88bf63150,slide,15,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-200\slide-015.jpg,consulting deliverable,Viva Independent,sustainability / circular economy; strategy,medium,DO NOT PUBLISH - private review required
DOC-200,C:\Users\User\Desktop\180 deliverables\Viva Independent - Deliverable 1.pptx,Viva Independent - Deliverable 1.pptx,7b2fda5a00ffab2463ab772f6fe1c7d23d7f23be5c0f9d89287a1cc88bf63150,slide,16,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-200\slide-016.jpg,consulting deliverable,Viva Independent,sustainability / circular economy; strategy,medium,DO NOT PUBLISH - private review required
DOC-200,C:\Users\User\Desktop\180 deliverables\Viva Independent - Deliverable 1.pptx,Viva Independent - Deliverable 1.pptx,7b2fda5a00ffab2463ab772f6fe1c7d23d7f23be5c0f9d89287a1cc88bf63150,slide,17,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-200\slide-017.jpg,consulting deliverable,Viva Independent,sustainability / circular economy; strategy,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,5,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-005.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,6,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-006.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,32,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-032.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,33,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-033.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,37,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-037.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-171,C:\Users\User\Desktop\180 deliverables\SCEF_Final_Report_vsent_final.pptx,SCEF_Final_Report_vsent_final.pptx,92e8c6d7a90d3ccc10f7a9db087deef34e82650b4d4602674f7d85400958f7d9,slide,41,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-171\slide-041.jpg,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,8,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-008.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,10,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-010.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,15,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-015.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,17,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-017.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,20,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-020.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,180DC x BCI Final Report 25_26.pdf,d75ef0e6aa7eb2eb5ec9687e09c11f0fa25cb4e97ae788b17cddbc318b9156e9,page,22,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-013\page-022.jpg,consulting deliverable,BCI,sustainability / circular economy; operations / procurement; business plan / financial,medium,DO NOT PUBLISH - private review required
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,180DC_PLAEX_Report.pdf,1015711e55a85a6bcfa0d5606e3a099727487ac4ae9a3022d61a7efab5bcbbb5,page,4,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-029\page-004.jpg,consulting deliverable,PLAEX,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,180DC_PLAEX_Report.pdf,1015711e55a85a6bcfa0d5606e3a099727487ac4ae9a3022d61a7efab5bcbbb5,page,8,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-029\page-008.jpg,consulting deliverable,PLAEX,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,180DC_PLAEX_Report.pdf,1015711e55a85a6bcfa0d5606e3a099727487ac4ae9a3022d61a7efab5bcbbb5,page,12,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-029\page-012.jpg,consulting deliverable,PLAEX,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,180DC_PLAEX_Report.pdf,1015711e55a85a6bcfa0d5606e3a099727487ac4ae9a3022d61a7efab5bcbbb5,page,19,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-029\page-019.jpg,consulting deliverable,PLAEX,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,180DC_PLAEX_Report.pdf,1015711e55a85a6bcfa0d5606e3a099727487ac4ae9a3022d61a7efab5bcbbb5,page,39,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-029\page-039.jpg,consulting deliverable,PLAEX,sustainability / circular economy; market research / growth; brand / marketing,medium,DO NOT PUBLISH - private review required
DOC-159,C:\Users\User\Desktop\180 deliverables\Pee Safe x 180 DC Deliverable 2 presentation.pptx,Pee Safe x 180 DC Deliverable 2 presentation.pptx,e35c3317be75b20ccb0ad620d7b36ed7641765045413114156d9600ea10f3935,slide,9,C:\Users\User\Desktop\180dc-ai\portfolio-workbench\case-study-v15\inventory-render\renders\DOC-159\slide-009.jpg,consulting deliverable,Pee Safe,market research / growth; brand / marketing; digital / product,medium,DO NOT PUBLISH - private review required
