document_id,source_path,category,source_count,render_policy_expected,rendered_count,coverage_status,sensitivity_risk
DOC-001,C:\Users\User\Desktop\180 deliverables\1600453661152_SCEF Strategic Plan 2020_2025_Final (1).pdf,reference/source,26,1,1,complete,medium
DOC-002,C:\Users\User\Desktop\180 deliverables\180 DC - iGiver Pitch Deliverable 2.pptx,consulting deliverable,23,23,23,complete,medium
DOC-003,C:\Users\User\Desktop\180 deliverables\180 DC - iGiver Presentation.pptx,consulting deliverable,30,30,30,complete,medium
DOC-004,C:\Users\User\Desktop\180 deliverables\180 Report GoodHout.pdf,consulting deliverable,57,57,57,complete,medium
DOC-005,C:\Users\User\Desktop\180 deliverables\180 Tomatoworld Last Deliverable.pdf,consulting deliverable,28,28,28,complete,high
DOC-006,C:\Users\User\Desktop\180 deliverables\180 X Liveshow Deliverable 1 Report.docx.pdf,consulting deliverable,20,20,20,complete,medium
DOC-007,C:\Users\User\Desktop\180 deliverables\180_DC_OAF_Final_Report_Detail.pdf,consulting deliverable,79,79,79,complete,high
DOC-008,C:\Users\User\Desktop\180 deliverables\180_WayForward.pdf,consulting deliverable,6,6,6,complete,medium
DOC-009,C:\Users\User\Desktop\180 deliverables\180DC Deliverable 1.pptx,consulting deliverable,17,17,17,complete,high
DOC-010,C:\Users\User\Desktop\180 deliverables\180DC Deliverable 2 Final.pptx,consulting deliverable,34,34,34,complete,high
DOC-011,C:\Users\User\Desktop\180 deliverables\180DC Deliverable 2.pptx,consulting deliverable,13,13,13,complete,high
DOC-012,C:\Users\User\Desktop\180 deliverables\180DC Project Tracker — Complete File Library.pdf,contract/agreement,36,1,1,complete,high
DOC-013,C:\Users\User\Desktop\180 deliverables\180DC x BCI Final Report 25_26.pdf,consulting deliverable,31,31,31,complete,medium
DOC-014,C:\Users\User\Desktop\180 deliverables\180DC x Circular IQ - Deliverable 1 Deck.pptx,consulting deliverable,141,141,141,complete,medium
DOC-015,C:\Users\User\Desktop\180 deliverables\180DC x Kevlinx Full Project.pdf,consulting deliverable,145,145,145,complete,high
DOC-016,C:\Users\User\Desktop\180 deliverables\180DC-BoB slide deck.pptx (1).pdf,consulting deliverable,14,14,14,complete,high
DOC-017,C:\Users\User\Desktop\180 deliverables\180DC-MAWG-Deliverable1 incl TSOTC Research.pdf,consulting deliverable,27,27,27,complete,high
DOC-018,C:\Users\User\Desktop\180 deliverables\180DC-Project_Proposal_Brand-Development (1).pdf,proposal/brief,3,1,1,complete,high
DOC-019,C:\Users\User\Desktop\180 deliverables\180DC-Project_Proposal_Brand-Development.pdf,proposal/brief,3,1,1,complete,high
DOC-020,C:\Users\User\Desktop\180 deliverables\180DC_2nd Deliverable (3).pdf,consulting deliverable,32,32,32,complete,high
DOC-021,C:\Users\User\Desktop\180 deliverables\180DC_3rd Deliverable (1).pdf,consulting deliverable,22,22,22,complete,medium
DOC-022,C:\Users\User\Desktop\180 deliverables\180DC_MAWG_Deliverable2_Final.pptx.pdf,consulting deliverable,35,35,35,complete,high
DOC-023,C:\Users\User\Desktop\180 deliverables\180DC_MAWG_Deliverable3_Final.pptx,consulting deliverable,77,77,77,complete,high
DOC-024,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable1.pdf,consulting deliverable,28,28,28,complete,medium
DOC-025,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable2.pdf,consulting deliverable,36,36,36,complete,high
DOC-026,C:\Users\User\Desktop\180 deliverables\180DC_OAF_Deliverable3.pdf,consulting deliverable,23,23,23,complete,high
DOC-027,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Presentation_Deliverable1.pdf,consulting deliverable,29,29,29,complete,high
DOC-028,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Presentation_Deliverable2and3.pdf,unclear/review,33,1,1,complete,low/unknown
DOC-029,C:\Users\User\Desktop\180 deliverables\180DC_PLAEX_Report.pdf,consulting deliverable,45,45,45,complete,medium
DOC-030,C:\Users\User\Desktop\180 deliverables\180DC_SCC - Final Report.pdf,consulting deliverable,22,22,22,complete,medium
DOC-031,C:\Users\User\Desktop\180 deliverables\180DC_X_Share-Deliverable1.pdf,consulting deliverable,43,43,43,complete,high
DOC-032,C:\Users\User\Desktop\180 deliverables\180DCXShare-Third_Deliverable.pdf,consulting deliverable,40,40,40,complete,high
